state,id,countyname,code
AL,1001,Autauga,H1
AL,1003,Baldwin,H1
AL,1005,Barbour,H1
AL,1007,Bibb,H1
AL,1009,Blount,H1
AL,1011,Bullock,H1
AL,1013,Butler,H1
AL,1015,Calhoun,H1
AL,1017,Chambers,H1
AL,1019,Cherokee,H1
AL,1021,Chilton,H1
AL,1023,Choctaw,H1
AL,1025,Clarke,H1
AL,1027,Clay,H1
AL,1029,Cleburne,H1
AL,1031,Coffee,H1
AL,1033,Colbert,H1
AL,1035,Conecuh,H1
AL,1037,Coosa,H1
AL,1039,Covington,H1
AL,1041,Crenshaw,H1
AL,1043,Cullman,H1
AL,1045,Dale,H1
AL,1047,Dallas,H1
AL,1049,DeKalb,H1
AL,1051,Elmore,H1
AL,1053,Escambia,H1
AL,1055,Etowah,H1
AL,1057,Fayette,H1
AL,1059,Franklin,H1
AL,1061,Geneva,H1
AL,1063,Greene,H1
AL,1065,Hale,H1
AL,1067,Henry,H1
AL,1069,Houston,H1
AL,1071,Jackson,H1
AL,1073,Jefferson,H1
AL,1075,Lamar,H1
AL,1077,Lauderdale,H1
AL,1079,Lawrence,H1
AL,1081,Lee,H1
AL,1083,Limestone,H1
AL,1085,Lowndes,H1
AL,1087,Macon,H1
AL,1089,Madison,H1
AL,1091,Marengo,H1
AL,1093,Marion,H1
AL,1095,Marshall,H1
AL,1097,Mobile,H1
AL,1099,Monroe,H1
AL,1101,Montgomery,H1
AL,1103,Morgan,H1
AL,1105,Perry,H1
AL,1107,Pickens,H1
AL,1109,Pike,H1
AL,1111,Randolph,H1
AL,1113,Russell,H1
AL,1115,St. Clair,H1
AL,1117,Shelby,H1
AL,1119,Sumter,H1
AL,1121,Talladega,H1
AL,1123,Tallapoosa,H1
AL,1125,Tuscaloosa,H1
AL,1127,Walker,H1
AL,1129,Washington,H1
AL,1131,Wilcox,H1
AL,1133,Winston,H1
AK,2013,Aleutians East Borough,H1
AK,2016,Aleutians West Census Area,H5
AK,2020,Anchorage Municipality,H6
AK,2050,Bethel Census Area,H5
AK,2060,Bristol Bay Borough,H1
AK,2068,Denali Borough,H1
AK,2070,Dillingham Census Area,H5
AK,2090,Fairbanks North Star Borough,H1
AK,2100,Haines Borough,H1
AK,2105,Hoonah-Angoon Census Area,H5
AK,2110,Juneau City and Borough,H6
AK,2122,Kenai Peninsula Borough,H1
AK,2130,Ketchikan Gateway Borough,H1
AK,2150,Kodiak Island Borough,H1
AK,2164,Lake and Peninsula Borough,H1
AK,2170,Matanuska-Susitna Borough,H1
AK,2180,Nome Census Area,H5
AK,2185,North Slope Borough,H1
AK,2188,Northwest Arctic Borough,H1
AK,2195,Petersburg Census Area,H5
AK,2198,Prince of Wales-Hyder Census Area,H5
AK,2220,Sitka City and Borough,H6
AK,2230,Skagway Municipality,H1
AK,2240,Southeast Fairbanks Census Area,H5
AK,2261,Valdez-Cordova Census Area,H5
AK,2270,Wade Hampton Census Area,H5
AK,2275,Wrangell City and Borough,H1
AK,2282,Yakutat City and Borough,H1
AK,2290,Yukon-Koyukuk Census Area,H5
AZ,4001,Apache,H1
AZ,4003,Cochise,H1
AZ,4005,Coconino,H1
AZ,4007,Gila,H1
AZ,4009,Graham,H1
AZ,4011,Greenlee,H1
AZ,4012,La Paz,H1
AZ,4013,Maricopa,H1
AZ,4015,Mohave,H1
AZ,4017,Navajo,H1
AZ,4019,Pima,H1
AZ,4021,Pinal,H1
AZ,4023,Santa Cruz,H1
AZ,4025,Yavapai,H1
AZ,4027,Yuma,H1
AR,5001,Arkansas,H1
AR,5003,Ashley,H1
AR,5005,Baxter,H1
AR,5007,Benton,H1
AR,5009,Boone,H1
AR,5011,Bradley,H1
AR,5013,Calhoun,H1
AR,5015,Carroll,H1
AR,5017,Chicot,H1
AR,5019,Clark,H1
AR,5021,Clay,H1
AR,5023,Cleburne,H1
AR,5025,Cleveland,H1
AR,5027,Columbia,H1
AR,5029,Conway,H1
AR,5031,Craighead,H1
AR,5033,Crawford,H1
AR,5035,Crittenden,H1
AR,5037,Cross,H1
AR,5039,Dallas,H1
AR,5041,Desha,H1
AR,5043,Drew,H1
AR,5045,Faulkner,H1
AR,5047,Franklin,H1
AR,5049,Fulton,H1
AR,5051,Garland,H1
AR,5053,Grant,H1
AR,5055,Greene,H1
AR,5057,Hempstead,H1
AR,5059,Hot Spring,H1
AR,5061,Howard,H1
AR,5063,Independence,H1
AR,5065,Izard,H1
AR,5067,Jackson,H1
AR,5069,Jefferson,H1
AR,5071,Johnson,H1
AR,5073,Lafayette,H1
AR,5075,Lawrence,H1
AR,5077,Lee,H1
AR,5079,Lincoln,H1
AR,5081,Little River,H1
AR,5083,Logan,H1
AR,5085,Lonoke,H1
AR,5087,Madison,H1
AR,5089,Marion,H1
AR,5091,Miller,H1
AR,5093,Mississippi,H1
AR,5095,Monroe,H1
AR,5097,Montgomery,H1
AR,5099,Nevada,H1
AR,5101,Newton,H1
AR,5103,Ouachita,H1
AR,5105,Perry,H1
AR,5107,Phillips,H1
AR,5109,Pike,H1
AR,5111,Poinsett,H1
AR,5113,Polk,H1
AR,5115,Pope,H1
AR,5117,Prairie,H1
AR,5119,Pulaski,H1
AR,5121,Randolph,H1
AR,5123,St. Francis,H1
AR,5125,Saline,H1
AR,5127,Scott,H1
AR,5129,Searcy,H1
AR,5131,Sebastian,H1
AR,5133,Sevier,H1
AR,5135,Sharp,H1
AR,5137,Stone,H1
AR,5139,Union,H1
AR,5141,Van Buren,H1
AR,5143,Washington,H1
AR,5145,White,H1
AR,5147,Woodruff,H1
AR,5149,Yell,H1
CA,6001,Alameda,H1
CA,6003,Alpine,H1
CA,6005,Amador,H1
CA,6007,Butte,H1
CA,6009,Calaveras,H1
CA,6011,Colusa,H1
CA,6013,Contra Costa,H1
CA,6015,Del Norte,H1
CA,6017,El Dorado,H1
CA,6019,Fresno,H1
CA,6021,Glenn,H1
CA,6023,Humboldt,H1
CA,6025,Imperial,H1
CA,6027,Inyo,H1
CA,6029,Kern,H1
CA,6031,Kings,H1
CA,6033,Lake,H1
CA,6035,Lassen,H1
CA,6037,Los Angeles,H1
CA,6039,Madera,H1
CA,6041,Marin,H1
CA,6043,Mariposa,H1
CA,6045,Mendocino,H1
CA,6047,Merced,H1
CA,6049,Modoc,H1
CA,6051,Mono,H1
CA,6053,Monterey,H1
CA,6055,Napa,H1
CA,6057,Nevada,H1
CA,6059,Orange,H1
CA,6061,Placer,H1
CA,6063,Plumas,H1
CA,6065,Riverside,H1
CA,6067,Sacramento,H1
CA,6069,San Benito,H1
CA,6071,San Bernardino,H1
CA,6073,San Diego,H1
CA,6075,San Francisco,H6
CA,6077,San Joaquin,H1
